M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
16,64,20,0.8832835653309083,808,420,0.39990234375,0.021216758606314418,"{""00"": 819, ""01"": 444, ""10"": 401, ""11"": 384}"
16,64,21,0.8822422584226771,624,324,0.4453125,0.021525226387136002,"{""00"": 912, ""01"": 351, ""10"": 371, ""11"": 414}"
16,64,22,0.9164520708247624,831,432,0.3857421875,0.02108215534356749,"{""00"": 790, ""01"": 452, ""10"": 395, ""11"": 411}"
16,64,23,0.9927944801512113,808,420,0.40869140625,0.021290994289665008,"{""00"": 837, ""01"": 387, ""10"": 424, ""11"": 400}"
16,64,24,0.9927944801512113,808,420,0.41259765625,0.021321723692617235,"{""00"": 845, ""01"": 419, ""10"": 378, ""11"": 406}"
16,64,25,0.8474772260040265,647,336,0.423828125,0.02140237696617739,"{""00"": 868, ""01"": 392, ""10"": 404, ""11"": 384}"
16,64,26,0.838570235196909,785,408,0.39404296875,0.021163320110666566,"{""00"": 807, ""01"": 431, ""10"": 414, ""11"": 396}"
16,64,27,0.838570235196909,785,408,0.39501953125,0.021172447122078955,"{""00"": 809, ""01"": 420, ""10"": 451, ""11"": 368}"
16,64,28,0.9435486647403548,877,456,0.4052734375,0.021262965436833283,"{""00"": 830, ""01"": 408, ""10"": 411, ""11"": 399}"
16,64,29,0.9714548246917326,739,384,0.43359375,0.021463306153253505,"{""00"": 888, ""01"": 395, ""10"": 382, ""11"": 383}"
